Date,Close,High,Low,Open,Volume
,ASSET_A,ASSET_A,ASSET_A,ASSET_A,ASSET_A
2024-06-03,99.886246,100.300000,99.586587,100.000000,44475210
2024-06-04,100.876369,101.178998,99.586587,99.886246,5072899
2024-06-05,98.515355,101.178998,98.219809,100.876369,5036300
2024-06-06,97.324763,98.810901,97.032789,98.515355,34097571
2024-06-07,96.947616,97.616737,96.656773,97.324763,2123307
2024-06-10,96.410896,97.238459,96.121663,96.947616,47937864
2024-06-11,96.156705,96.700129,95.868235,96.410896,24514299
2024-06-12,95.682451,96.445175,95.395404,96.156705,27304796
2024-06-13,94.257242,95.969499,93.974470,95.682451,37974487
2024-06-14,95.697133,95.984225,93.974470,94.257242,44458550
2024-06-17,91.477778,95.984225,91.203345,95.697133,4896999
2024-06-18,91.518956,91.793513,91.203345,91.477778,6408763
2024-06-19,91.732700,92.007898,91.244399,91.518956,16309824
2024-06-20,90.411517,92.007898,90.140282,91.732700,30989211
2024-06-21,91.799302,92.074700,90.140282,90.411517,8364007
2024-06-24,90.895020,92.074700,90.622335,91.799302,40218099
2024-06-25,92.583310,92.861060,90.622335,90.895020,35227683
2024-06-26,91.111437,92.861060,90.838103,92.583310,5565454
2024-06-27,88.646317,91.384772,88.380378,91.111437,33388508
2024-06-28,87.256366,88.912256,86.994597,88.646317,47700674
2024-07-01,88.754957,89.021222,86.994597,87.256366,25924515
2024-07-02,90.402227,90.673434,88.488693,88.754957,41730461
2024-07-03,88.696922,90.673434,88.430831,90.402227,44473317
2024-07-04,87.958339,88.963013,87.694464,88.696922,46239453
2024-07-05,89.462220,89.730607,87.694464,87.958339,34071696
2024-07-08,89.125556,89.730607,88.858179,89.462220,18067543
2024-07-09,89.976187,90.246116,88.858179,89.125556,33617720
2024-07-10,88.076751,90.246116,87.812521,89.976187,7998878
2024-07-11,88.265776,88.530573,87.812521,88.076751,4832169
2024-07-12,90.486037,90.757495,88.000978,88.265776,47771215
2024-07-15,89.181123,90.757495,88.913580,90.486037,7508717
2024-07-16,89.704113,89.973225,88.913580,89.181123,48957711
2024-07-17,88.447347,89.973225,88.182005,89.704113,36703228
2024-07-18,88.482137,88.747583,88.182005,88.447347,20668147
2024-07-19,85.897303,88.747583,85.639611,88.482137,46154060
2024-07-22,86.520589,86.780151,85.639611,85.897303,20435281
2024-07-23,87.186317,87.447876,86.261028,86.520589,49116005
2024-07-24,85.978455,87.447876,85.720520,87.186317,10356683
2024-07-25,86.060595,86.318777,85.720520,85.978455,49313684
2024-07-26,84.055469,86.318777,83.803303,86.060595,10400712
2024-07-29,85.439140,85.695458,83.803303,84.055469,6829183
2024-07-30,85.175099,85.695458,84.919574,85.439140,38766810
2024-07-31,84.975802,85.430625,84.720875,85.175099,31364035
2024-08-01,83.000314,85.230730,82.751313,84.975802,43122893
2024-08-02,82.717703,83.249315,82.469550,83.000314,8318303
2024-08-05,82.765389,83.013685,82.469550,82.717703,29310631
2024-08-06,84.041881,84.294007,82.517093,82.765389,37005445
2024-08-07,82.288830,84.294007,82.041963,84.041881,36418802
2024-08-08,82.522860,82.770429,82.041963,82.288830,11132911
2024-08-09,81.236490,82.770429,80.992780,82.522860,5463026
2024-08-12,80.474414,81.480199,80.232991,81.236490,36050990
2024-08-13,81.521416,81.765981,80.232991,80.474414,39240966
